label,rep,idx,t_ms,ax,ay,az,gx,gy,gz
2,9,47,941,0.982913,-0.674164,-0.722458,-10.674024,-3.918906,-4.663047
2,9,48,961,0.979495,-0.666840,-0.749313,-12.799024,-2.668906,-1.350547
2,9,49,981,0.972170,-0.672700,-0.777634,-7.236524,-4.793906,0.024453
2,9,50,1001,0.960452,-0.671723,-0.802048,-1.299023,-6.918906,0.149453
2,9,51,1021,0.946292,-0.668793,-0.820114,-0.986523,-6.168906,0.899453
2,9,52,1041,0.933596,-0.660004,-0.821091,-5.486524,-3.293906,2.899453
2,9,53,1061,0.939456,-0.664399,-0.804001,-7.361524,0.018594,4.649453
2,9,54,1081,0.938967,-0.684907,-0.784470,-6.736524,0.643594,5.524453
2,9,55,1101,0.952639,-0.693696,-0.759567,-5.049024,-1.168906,4.836953
2,9,56,1121,0.947268,-0.703461,-0.764450,2.825977,-3.543906,3.836953
2,9,57,1141,0.939944,-0.707856,-0.776657,1.763477,-4.231406,3.586953
2,9,58,1161,0.929202,-0.728364,-0.782516,0.013477,-2.543906,2.836953
2,9,59,1181,0.941897,-0.722016,-0.774216,-2.174023,-0.356406,1.211953
2,9,60,1201,0.948245,-0.702973,-0.765427,-3.549023,-0.418906,0.899453
2,9,61,1221,0.949221,-0.705903,-0.764450,-4.924024,-0.981406,0.336953
2,9,62,1241,0.961917,-0.675629,-0.769821,-1.861523,-0.793906,-0.350547
2,9,63,1261,0.970217,-0.670258,-0.784958,0.013477,0.956094,0.774453
2,9,64,1281,0.986819,-0.676606,-0.777634,-2.674023,4.956094,2.211953
2,9,65,1301,1.000491,-0.664887,-0.766891,-6.736524,8.268594,4.211953
2,9,66,1321,0.993655,-0.642426,-0.765915,-6.861524,11.581094,6.836953
2,9,67,1341,0.981448,-0.646332,-0.750778,-6.111524,14.206094,9.774453
2,9,68,1361,0.966799,-0.680512,-0.726364,-5.361524,14.518594,12.274453
2,9,69,1381,0.949221,-0.718110,-0.714645,-5.236524,12.393594,13.024453
2,9,70,1401,0.930667,-0.754731,-0.720993,-5.424024,9.706094,12.524453
2,9,71,1421,0.914553,-0.775727,-0.727341,-3.361523,7.706094,9.899453
2,9,72,1441,0.910159,-0.784516,-0.725388,-2.424023,4.956094,7.461953
2,9,73,1461,0.901370,-0.787446,-0.727829,-2.611523,2.018594,4.774453
2,9,74,1481,0.899417,-0.774262,-0.731735,-1.674023,0.393594,1.961953
2,9,75,1501,0.907229,-0.771821,-0.733688,-2.611523,-0.231406,0.336953
